Location,Time_point,Plant,Replicate,d15N,d13C,perctN,perctC,ratioCN
Top,15,D,2,0.2,-18.2,1.9,20.2,10.7
Top,15,D,3,1,-17.7,2.7,31.1,11.6
Mid,15,D,1,1.1,-17.8,2.7,30.9,11.3
Mid,15,D,2,0.9,-18,2.9,30.9,10.8
Mid,15,D,3,0.7,-17.3,3,38.3,12.7
Bottom,15,D,1,0.5,-17.6,2.8,28.9,10.4
Bottom,15,D,2,0.9,-17.2,2.7,35.4,13.1
Bottom,15,D,3,-0.4,-18.1,3.2,34.4,10.8
Holdfast,15,D,H,0.7,-17.4,3,33.3,11.1
Top,15,E,1,0,-19.2,4,33,8.3
Top,15,E,2,0.1,-18.3,3.6,30.3,8.4
Top,15,E,3,-0.3,-18.3,3.4,28.9,8.4
Mid,15,E,1,-0.2,-19.1,3.7,30.8,8.3
Mid,15,E,2,-0.1,-19,2.8,24.9,9
Mid,15,E,3,-0.3,-19.3,3.8,33.5,8.9
Bottom,15,E,1,0.2,-19.6,4.6,41.5,9
Bottom,15,E,2,0,-18.9,3.6,32.3,8.9
Bottom,15,E,3,-0.1,-18.4,3.8,37,9.8
Holdfast,15,E,H,0.3,-18.7,3.4,34.1,10.1
Top,15,F,1,-0.8,-19.8,3.8,29.6,7.8
Top,15,F,2,-0.9,-19.1,3.4,28.3,8.4
Top,15,F,3,-0.3,-19.4,4,34.5,8.7
Mid,15,F,1,-0.6,-19,3.3,28.2,8.6
Mid,15,F,2,-1.3,-19.7,2.8,21.8,7.9
Mid,15,F,3,-0.9,-19.1,2.7,21.3,7.8
Bottom,15,F,1,0.1,-18,2.7,24,8.8
Bottom,15,F,2,0,-17.6,3,25.5,8.5
Bottom,15,F,3,-0.2,-17.4,3.1,25.3,8.1
Holdfast,15,F,H,0.2,-17.9,3.2,28.7,9
