Treatment,Plot,Time_point,Days ,Replicate ,Silica,Nitrite,Nitrate,Phosphate,Silica_mol,Nitrite_mol,Nitrate_mol,Phosphate_mol
Control,C,5,7,1,95.589,2.887,49.817,4.993,1.591028628,0.062753366,0.803436503,0.052573693
Control,C,5,7,2,99.487,3.679,48.19421739,4.283,1.655908788,0.079968699,0.777264658,0.045097763
Control,C,6,10,2,79.853,1.926,35.29013043,0.125,1.329111185,0.04186456,0.569150671,0.001316185
Control,C,7,14,1,94.133,2.711,45.41365217,1.046,1.566794274,0.058927737,0.732420376,0.011013836
Control,C,7,14,2,118.442,3.361,48.06617391,1.936,1.971404794,0.073056482,0.775199604,0.020385073
Control,C,8,20,1,50.458,1.668,10.85943478,-0.572,0.839846871,0.036256535,0.175138332,-0.006022863
Control,C,8,20,2,49.001,1.189,11.0926087,-0.5,0.815595872,0.025844736,0.178898905,-0.00526474
Control,C,9,26,1,54.694,1.652,79.1996087,1.446,0.910352863,0.03590875,1.277312095,0.015225628
Control,C,9,26,2,50.138,2.484,82.25378261,0.985,0.834520639,0.053993544,1.326569071,0.010371538
Control,C,10,36,1,66.8,2.291,61.54847826,-0.613,1.111850866,0.049798394,0.992638941,-0.006454571
Control,C,10,36,2,67.31,1.764,57.70852174,-0.149,1.120339547,0.038343242,0.930709053,-0.001568893
Control,C,11,42,1,77.884,2.094,38.82278261,6.321,1.296338216,0.045516297,0.626124429,0.066556843
Control,C,11,42,2,76.53,1.693,38.58017391,6.813,1.273801598,0.036799948,0.622211695,0.071737347
Enriched,A,0,0,1,77.579,2.889,19.77934783,0.7,1.291261651,0.06279684,0.318996528,0.007370636
Enriched,A,0,0,2,129.885,2.489,25.08573913,0.85,2.16186751,0.054102227,0.404576721,0.008950058
Enriched,A,5,7,1,89.825,3.638,51.03947826,3.374,1.49508988,0.079077502,0.823152336,0.035526465
Enriched,A,5,7,2,109.55,2.866,55.96443478,4.053,1.82340213,0.062296899,0.902580841,0.042675982
Enriched,A,6,10,1,109.788,3.03,34.02721739,1.285,1.827363515,0.06586169,0.548782715,0.013530382
Enriched,A,6,10,2,82.059,2.777,35.51656522,2.894,1.365828895,0.060362348,0.572802556,0.030472315
Enriched,A,7,14,1,141.737,3.293,67.81991304,2.266,2.359137816,0.071578398,1.093783121,0.023859802
Enriched,A,7,14,2,92.183,2.997,67.08130435,1.84,1.53433755,0.065144385,1.081871019,0.019374243
Enriched,A,8,20,1,72.765,1.556,24.49269565,0.555,1.211135153,0.033822043,0.39501226,0.005843861
Enriched,A,8,20,2,94.492,1.277,28.05634783,2.208,1.57276964,0.027757551,0.452485978,0.023249092
Enriched,A,9,26,1,126.757,2.494,109.2035652,4.001,2.109803595,0.05421091,1.761208634,0.042128449
Enriched,A,9,26,2,87.461,3.68,105.3824783,3.884,1.455742344,0.079990436,1.699583069,0.0408965
Enriched,A,10,36,1,73.381,2.682,89.559,2.628,1.221388149,0.058297377,1.444385847,0.027671473
Enriched,A,10,36,2,75.658,2.07,84.73243478,2.854,1.259287617,0.04499462,1.366544173,0.030051136
Enriched,A,11,42,1,122.943,1.713,45.51743478,5.167,2.046321571,0.037234678,0.734094157,0.054405823
Enriched,A,11,42,2,78.682,1.58,45.07804348,5.009,1.309620506,0.03434372,0.72700776,0.052742165
Enriched,C,0,0,1,82.281,2.373,22.67178261,0.153,1.369523968,0.051580789,0.365645015,0.00161101
Enriched,C,0,0,2,69.112,3.238,19.04208696,1.24,1.150332889,0.070382889,0.307106163,0.013056555
Enriched,C,5,7,1,81.831,2.863,47.49604348,2.417,1.362033955,0.06223169,0.766004678,0.025449753
Enriched,C,5,7,2,81.543,3.74,47.64834783,5.373,1.357240346,0.081294628,0.768461006,0.056574896
Enriched,C,6,10,1,90.797,1.814,33.33713043,-0.503,1.511268309,0.039430068,0.53765316,-0.005296328
Enriched,C,6,10,2,116.58,2.609,34.93295652,-0.847,1.940412783,0.056710611,0.563390257,-0.00891847
Enriched,C,7,14,1,76.588,2.589,52.421,0.428,1.274766977,0.05627588,0.845433184,0.004506617
Enriched,C,7,14,2,76.818,3.153,52.91834783,1.702,1.278595206,0.068535284,0.853454289,0.017921175
Enriched,C,8,20,1,53.104,1.158,26.82173913,0.782,0.883888149,0.025170903,0.432574508,0.008234053
Enriched,C,8,20,2,56.701,1.668,23.57886957,-0.088,0.943758322,0.036256535,0.380274294,-0.000926594
Enriched,C,9,26,1,66.006,3.041,103.6653478,5.252,1.098635153,0.066100792,1.671889606,0.055300829
Enriched,C,9,26,2,66.026,2.361,108.894913,5.935,1.098968043,0.051319951,1.756230766,0.062492464
Enriched,C,10,36,1,89.467,1.682,87.94295652,2.569,1.489131158,0.036560846,1.418322689,0.027050234
Enriched,C,10,36,2,136.468,2.719,76.42578261,2.545,2.271438083,0.059101629,1.2325765,0.026797526
Enriched,C,11,42,1,74.488,2.682,43.86634783,6.366,1.239813582,0.058297377,0.707465827,0.067030669
Enriched,C,11,42,2,100.588,2.073,46.11991304,6.335,1.674234354,0.04505983,0.74381078,0.066704256
